Epoch,Loss,AUPR,AUROC,LR
1,8.980354309082031,0.3661691217798311,0.7961488967899585,0.00018281152949374527
2,8.94605827331543,0.3668207843124321,0.7966377370350457,0.0001378115294937453
3,8.924253463745117,0.3673343877491559,0.7969574005743743,8.218847050625475e-05
4,8.907184600830078,0.3801485861754025,0.824781696221561,3.718847050625474e-05
5,8.780264854431152,0.3789583600216271,0.8263188418669853,0.0002
6,8.7398042678833,0.3630044015573367,0.8212297965468001,0.00019559508646656385
7,8.659895896911621,0.3504700317473598,0.8281513964999959,0.00018281152949374527
8,8.608983039855957,0.3662801615020109,0.8337255614373345,0.0001629006727063226
9,8.594204902648926,0.37002286307445237,0.8355902672236786,0.0001378115294937453
10,8.59144115447998,0.3651012957704028,0.8360778104233721,0.00011
11,8.576026916503906,0.3538631357644519,0.8356448712577973,8.218847050625475e-05
12,8.569165229797363,0.346490549819212,0.8345115354644145,5.7099327293677434e-05
13,8.54957103729248,0.3473447150400032,0.8336395592458403,3.718847050625474e-05
